,type,id,name,geometry
188,station,8100706,Brunn/Schneebergbahn,POINT (16.157436 47.825624)
189,station,8100188,Aspang,POINT (16.099716 47.562393)
190,station,8100146,Greifenburg-Weißensee,POINT (13.190726 46.741076)
191,station,8100102,Jenbach,POINT (11.778458 47.388452)
192,station,8101818,Vienna Bio Center,POINT (16.399552 48.187988)
193,station,8103000,Vienna Centrale,POINT (16.377114 48.185103)
194,station,8100512,Wien Ottakring,POINT (16.311188 48.21181)
195,station,8101578,Spillern,POINT (16.25701 48.375737)
196,station,8101629,Schönwies,POINT (10.660577 47.197323)
197,station,8100189,Edlitz-Grimmenstein,POINT (16.127969 47.6172)
198,station,8100846,Guntramsdorf-Thallern,POINT (16.297398 48.051901)
199,station,8100006,Pöchlarn,POINT (15.216355 48.208205)
200,station,8100028,Semmering,POINT (15.830921 47.639548)
201,station,8100158,Hieflau,POINT (14.737527 47.607843)
202,station,8100056,Arnoldstein,POINT (13.707552 46.551493)
204,station,8100176,Fehring,POINT (16.013249 46.949473)
205,station,8100134,Neumarkt am Wallersee,POINT (13.225577 47.955321)
207,station,8101700,Unterhart b.Sattledt,POINT (14.042634 48.089116)
209,station,8100323,Terfens-Weer,POINT (11.634388 47.315918)
210,station,8100071,St.Michael in Obersteiermark,POINT (15.00919 47.346625)
211,station,8100311,Statzendorf,POINT (15.632691 48.309082)
212,station,8100043,St. Johann im Pongau,POINT (13.19496 47.348378)
213,station,8100159,Gstatterboden im Nationalpark,POINT (14.633621 47.591383)
214,station,8101516,Schlägl,POINT (13.975413 48.63655)
215,station,8100208,Aigen-Schlägl,POINT (13.975134 48.64251)
216,station,8100003,Wien Westbahnhof,POINT (16.337256 48.196753)
217,station,8100416,Sattledt,POINT (14.057969 48.074131)
218,station,8101299,Oberhart b.Sattledt,POINT (14.039218 48.103975)
219,station,8102059,Tullnerfeld,POINT (15.996538 48.295239)
221,station,8100429,Söchau,POINT (16.013294 47.028856)
222,station,8100270,Hermagor,POINT (13.375607 46.626337)
223,station,8100074,Unzmarkt,POINT (14.442034 47.20091)
225,station,8100034,Peggau-Deutschfeistritz,POINT (15.343229 47.207112)
226,station,8101173,Lanzendorf-Rannersdorf,POINT (16.447419 48.113234)
230,station,8100167,Rohr-Bad Hall,POINT (14.191468 48.069726)
231,station,8100120,Götzis,POINT (9.636697 47.336611)
232,station,8100295,Krems an der Donau,POINT (15.604968 48.408934)
233,station,8100517,Windischgarsten,POINT (14.327062 47.715372)
234,station,8100757,Enzesfeld-Lindabrunn,POINT (16.187442 47.921287)
236,station,8100272,Herzogenburg,POINT (15.696541 48.276667)
238,station,8101405,Pulgarn,POINT (14.393501 48.278384)
240,station,8100151,Gmunden,POINT (13.782306 47.92482)
241,station,8100411,Rosenburg im Kamptal,POINT (15.643846 48.628505)
244,station,8100085,Klagenfurt Hbf,POINT (14.313569 46.615586)
245,station,8103644,Klagenfurt West,POINT (14.26687 46.622948)
246,station,8100721,Deutsch Wagram,POINT (16.563605 48.302942)
248,station,8100539,Werfen,POINT (13.195185 47.4726)
249,station,8100081,Velden am Wörther See,POINT (14.044836 46.620054)
250,station,8100079,Krumpendorf/Wörthersee,POINT (14.22151 46.626337)
251,station,8100080,Pörtschach am Wörther See,POINT (14.146235 46.636199)
252,station,8101218,Miesenbach-Waidmannsfeld,POINT (16.005527 47.877537)
253,station,8100023,Neumarkt-Kallham,POINT (13.725045 48.271543)
254,station,8100269,Wien Heiligenstadt,POINT (16.365698 48.249052)
255,station,8100405,Ried im Innkreis,POINT (13.488206 48.200447)
256,station,8100061,Ötztal,POINT (10.859113 47.238485)
257,station,8100537,Maria Ellend an der Donau,POINT (16.688627 48.109935)
258,station,8100107,Steinach in Tirol,POINT (11.469831 47.089219)
259,station,8101870,Stallegg,POINT (15.643658 48.615767)
262,station,8101701,Untersiebenbrunn,POINT (16.747848 48.247946)
263,station,8100254,Götzendorf/Leitha,POINT (16.586338 48.025706)
264,station,8101955,Achleitnersiedlung,POINT (14.205554 48.321532)
265,station,8100442,Obernberg-Altheim,POINT (13.259781 48.270105)
266,station,8100109,Innsbruck Westbahnhof,POINT (11.391868 47.255591)
267,station,8100248,Garsten,POINT (14.408908 48.023935)
268,station,8100449,Wien Mitte,POINT (16.384315 48.205634)
269,station,801070,"Wien Schwarzenbergplatz (Mitte), Österreich",POINT (16.374633 48.200771)
270,station,8101210,Mixnitz Bärenschützklamm,POINT (15.360551 47.331361)
271,station,8101597,St.Peter-Seitenstetten,POINT (14.646179 48.054741)
272,station,8100045,Lend,POINT (13.055627 47.297508)
276,station,8100515,Parndorf Ort,POINT (16.851161 47.99214)
277,station,8101335,Parndorf,POINT (16.871341 47.986837)
278,station,8100417,Mittewald an der Drau,POINT (12.595038 46.76967)
279,station,8100689,Bisamberg,POINT (16.347046 48.316723)
280,station,8100137,Schladming,POINT (13.678148 47.393827)
285,station,8100826,Grein-Bad Kreuzen,POINT (14.851276 48.220664)
287,station,8101403,Puchberg am Schneeberg,POINT (15.910341 47.790485)
290,station,8100046,Taxenbach-Rauris,POINT (12.94799 47.292852)
291,station,8100349,Wien Praterstern,POINT (16.392198 48.21857)
292,station,8100200,Göpfritz an der Wild,POINT (15.394459 48.729759)
293,station,8100062,Imst-Pitztal,POINT (10.76167 47.219077)
294,station,8100691,Wien Brünner Straße,POINT (16.402707 48.268514)
304,station,8100337,Volders-Baumkirchen,POINT (11.564497 47.296366)
305,station,8100147,Villach Hbf,POINT (13.848539 46.618625)
306,station,8100382,Villach Warmbad,POINT (13.828673 46.588834)
307,station,8101988,Waldegg-Dürnbach,POINT (16.051561 47.867622)
311,station,8101248,Mühlheim am Inn,POINT (13.220858 48.269736)
313,station,8101675,Thörl-Maglern,POINT (13.64807 46.540275)
314,station,8101055,Kleblach-Lind,POINT (13.341313 46.770659)
315,station,8101742,Wartberg/Krems,POINT (14.121613 47.988985)
317,station,8101414,Petzenkirchen,POINT (15.157107 48.143573)
318,station,8100325,Traismauer,POINT (15.746036 48.347907)
319,station,8100149,Steinfeld im Drautal,POINT (13.259664 46.752609)
322,station,8100521,Pettenbach,POINT (14.011873 47.962197)
323,station,8100129,Gmünd NÖ,POINT (14.985171 48.764233)
326,station,8100009,St. Valentin,POINT (14.521849 48.179143)
327,station,8100261,Grünau im Almtal,POINT (13.951627 47.85368)
328,station,8101852,Schauersberg,POINT (14.008646 48.135977)
330,station,8101157,Lind-Rosegg,POINT (14.001122 46.606336)
331,station,8100867,Gumpoldskirchen,POINT (16.28502 48.041132)
333,station,8100669,Blindenmarkt,POINT (14.97958 48.125064)
334,station,8101327,Ottnang-Wolfsegg,POINT (13.664907 48.0921)
335,station,8101728,Völs,POINT (11.321186 47.255762)
339,station,8100316,Summerau,POINT (14.448892 48.557247)
340,station,8101306,Öpping,POINT (13.960544 48.599811)
343,station,8101645,Traisen Markt,POINT (15.61171 48.039918)
344,station,8100622,Arbing,POINT (14.700698 48.227262)
345,station,8101501,St. Georgen/Gusen,POINT (14.441314 48.265323)
346,station,8101502,St. Georgen/Gusen Ort,POINT (14.450996 48.271175)
348,station,8100012,Amstetten NÖ,POINT (14.878109 48.121603)
349,station,8100239,Freistadt,POINT (14.481613 48.495249)
350,station,8101643,Traisen,POINT (15.61215 48.056953)
351,station,8101768,Wilhelmsburg an der Traisen,POINT (15.608411 48.111562)
352,station,8100834,Getzersdorf ob der Traisen,POINT (15.715347 48.324166)
355,station,8100587,Schlöglmühl,POINT (15.913774 47.682597)
356,station,8100083,Rosenbach bei Villach,POINT (14.035514 46.531294)
357,station,8100139,Altenmarkt im Pongau,POINT (13.428419 47.382474)
358,station,8101347,Petersbaumgarten,POINT (16.132311 47.634037)
359,station,8100015,Lambach,POINT (13.888343 48.094087)
360,station,8100088,Scharnitz,POINT (11.266927 47.392263)
362,station,8100198,Bruck/Leitha,POINT (16.780083 48.019072)
363,station,8100049,Saalfelden,POINT (12.829764 47.426854)
364,station,8100032,Bruck/Mur,POINT (15.279433 47.413828)
365,station,8100132,Stainach-Irdning,POINT (14.106754 47.529196)
366,station,8101163,Leobersdorf,POINT (16.230941 47.93878)
367,station,8100264,Hadersdorf/Kamp,POINT (15.714726 48.446725)
368,station,8100734,Dürnberg b.Ottensheim,POINT (14.19243 48.331447)
370,station,8101480,Schauboden,POINT (15.136945 48.078931)
371,station,8101349,Pfennigbach b.Puchberg,POINT (15.924058 47.795789)
372,station,8101241,Markt Sachsenburg,POINT (13.348109 46.825835)
373,station,8101937,Wien Spittelau,POINT (16.358102 48.235586)
374,station,8100663,Bad Blumau,POINT (16.056721 47.123126)
375,station,8100026,Gloggnitz,POINT (15.946711 47.677716)
376,station,8101024,Kamegg,POINT (15.657366 48.610311)
378,station,8102149,Ledenitzen Bahnhst,POINT (13.965641 46.562892)
380,station,8101586,Schrambach,POINT (15.574665 48.001417)
382,station,8101101,Klosterneuburg Weidling,POINT (16.334604 48.297576)
384,station,8100493,Sigmundsherberg,POINT (15.745047 48.685748)
385,station,8100173,Graz Hbf,POINT (15.416437 47.072301)
386,station,8100371,Graz Ostbahnhof-Messe,POINT (15.448295 47.053397)
387,station,8100369,Gramatneusiedl,POINT (16.490738 48.035397)
388,station,8100099,Wörgl Hbf,POINT (12.060584 47.491801)
390,station,8100831,Gemeinlebarn,POINT (15.804511 48.336113)
391,station,8101293,Neumarkt/Ybbs-Karlsbach,POINT (15.051619 48.142386)
393,station,8101496,Villach Seebach,POINT (13.874077 46.620953)
394,station,8100029,Mürzzuschlag,POINT (15.677394 47.60795)
395,station,8101538,Scheifling,POINT (14.418994 47.148044)
396,station,8100322,Ternberg,POINT (14.354955 47.949217)
398,station,8100819,Gaishorn,POINT (14.545931 47.488942)
402,station,8101391,Purgstall/Erlauf,POINT (15.131147 48.059011)
403,station,8100878,Gerling OÖ,POINT (14.077152 48.397437)
405,station,8100094,Böckstein,POINT (13.130202 47.080383)
406,station,8100408,Mattersburg,POINT (16.408972 47.735705)
407,station,8101227,Wien Matzleinsdorfer Platz,POINT (16.359271 48.180815)
408,station,8100113,Seefeld in Tirol,POINT (11.189485 47.328728)
409,station,8101390,Pottschach,POINT (16.006381 47.697213)
410,station,8100001,Kufstein,POINT (12.165201 47.583509)
412,station,8100241,Friedburg,POINT (13.234567 47.996725)
413,station,8100084,Faak am See,POINT (13.913009 46.564375)
414,station,8100573,Micheldorf-Hirt,POINT (14.431624 46.914019)
418,station,8100514,Wien Meidling,POINT (16.333085 48.174451)
419,station,8100036,Sattendorf,POINT (13.917099 46.662816)
420,station,8100526,Pram-Haag,POINT (13.618882 48.231766)
421,station,8100063,Landeck-Zams,POINT (10.578389 47.148242)
422,station,8100850,Glanegg in Kärnten,POINT (14.21155 46.717839)
423,station,8100780,Felixdorf,POINT (16.24811 47.887371)
424,station,8102888,Wien Aspern Nord,POINT (16.504501 48.234804)
425,station,8100485,Scheibbs,POINT (15.164452 48.004977)
426,station,8100008,St.Pölten Hbf,POINT (15.624681 48.208277)
427,station,8100590,Stübing,POINT (15.322563 47.17761)
429,station,8101647,Tattendorf,POINT (16.306145 47.955725)
431,station,8101450,Roßleithen,POINT (14.308643 47.724568)
432,station,8101265,Nettingsdorf,POINT (14.258483 48.189651)
433,station,8100503,St. Nikola-Struden,POINT (14.909401 48.233492)
434,station,8101255,Neuhofen/Krems,POINT (14.238482 48.136058)
435,station,8100138,Radstadt,POINT (13.46781 47.384236)
438,station,8100035,Leibnitz,POINT (15.54723 46.779972)
439,station,8101723,Voitsdorf,POINT (14.047101 48.012429)
440,station,8100477,Rum b.Innsbruck,POINT (11.456168 47.278028)
444,station,8100007,Ybbs a.d. Donau,POINT (15.099577 48.15889)
445,station,8100140,Eben im Pongau,POINT (13.396435 47.407033)
446,station,8100476,Rottenegg,POINT (14.137686 48.360096)
447,station,8100494,Neudörfl,POINT (16.300661 47.793704)
448,station,8101353,Pfarrwerfen,POINT (13.199949 47.460986)
450,station,8101277,Neunkirchen NÖ,POINT (16.084713 47.731498)
453,station,8101237,Mötz,POINT (10.960529 47.275529)
454,station,8101489,St.Egyden am Steinfeld,POINT (16.146757 47.761046)
455,station,8104229,Wien Stadlau,POINT (16.448129 48.218525)
456,station,8100089,Ehrwald Zugspitzbahn,POINT (10.913741 47.410125)
457,station,8100359,Wolfsberg in Kärnten,POINT (14.838539 46.842159)
458,station,8101219,Mitterberghütten,POINT (13.222161 47.395374)
459,station,8100999,Iglmühle,POINT (14.03644 48.520598)
460,station,8101555,Wien Geiselbergstraße,POINT (16.407084 48.175341)
461,station,8101000,Imsterberg,POINT (10.70635 47.211283)
462,station,8100447,Wien Hütteldorf,POINT (16.261252 48.197256)
463,station,8100115,Reutte in Tirol,POINT (10.72165 47.493086)
464,station,8178128,Reutte in Tirol Isserplatz,POINT (10.719403 47.487567)
465,station,8100082,Spielfeld-Straß,POINT (15.629239 46.709569)
466,station,8100474,Rohrbach-Berg,POINT (13.987368 48.581923)
467,station,8100150,Selzthal,POINT (14.312841 47.55024)
470,station,8101051,Kledering b.Wien,POINT (16.439311 48.133001)
471,station,8100356,Wiesen-Sigleß,POINT (16.370094 47.753189)
472,station,8100528,Pregarten,POINT (14.522523 48.355952)
